restaurant_id,avg_risk,max_risk,last_score,inspections,latest_inspection,premises_name,premise_address_1,grade
DENNYS #7646|4541 SUNSET RD,0.4436184584722307,0.8107387382333496,91.0,9,2024-11-13,DENNYS #7646,4541 SUNSET RD,A
TIKKA SHACK UPTOWN|400 S TRYON ST,0.44295750031118747,0.6139539794621885,94.0,8,2024-11-12,TIKKA SHACK UPTOWN,400 S TRYON ST,A
HYATT PLACE-CHARLOTTE CITY PARK|4119 SOUTH STREAM BV,0.4415190369608025,0.7861624222472732,88.0,4,2024-12-06,HYATT PLACE-CHARLOTTE CITY PARK,4119 SOUTH STREAM BV,B
QUIKTRIP #1059|5209 CENTRAL AV,0.4402096756803503,0.8251950294725189,98.0,4,2024-11-26,QUIKTRIP #1059,5209 CENTRAL AV,A
TAP AND VINE|7828 REA RD,0.439407265868674,0.7208811492137507,95.0,8,2024-11-20,TAP AND VINE,7828 REA RD,A
COTTAGE|6701 N TRYON ST,0.43871611571073643,0.8093168481849587,95.5,5,2024-10-15,COTTAGE,6701 N TRYON ST,A
IRIE NATION RESTAURANT & CATERING|2729 N TRYON ST,0.43753613749722664,0.75735250781912,93.0,6,2024-10-15,IRIE NATION RESTAURANT & CATERING,2729 N TRYON ST,A
PHO GOOD TIME|2410 PARK RD,0.4366566235669979,0.4366566235669979,93.0,1,2024-11-07,PHO GOOD TIME,2410 PARK RD,A
LAMS KITCHEN|3016 WEDDINGTON RD,0.4345918439519848,0.6435362649997812,95.0,4,2024-07-29,LAMS KITCHEN,3016 WEDDINGTON RD,A
SOPHIAS LOUNGE|127 N TRYON ST,0.43099142415896513,0.7323088065009433,95.0,7,2024-11-14,SOPHIAS LOUNGE,127 N TRYON ST,A
LAGZ RESTAURANT BAR & GRILLE|2539 LITTLE ROCK RD,0.4303655154166901,0.8427241377654915,87.0,6,2024-10-02,LAGZ RESTAURANT BAR & GRILLE,2539 LITTLE ROCK RD,B
