acs_year,state_fips,county_fips,tract,block_group,acs_data_year,median_income,total_pop,white,black,asian,total_pop_hispanic_table,hispanic,under_18,over_65,pct_white,pct_black,pct_asian,pct_hispanic
2022,37,119,005840,1,2023,123056.0,2253.0,1640.0,301.0,208.0,2253.0,132.0,,,0.7279183311140701,0.13359964491788726,0.0923213493120284,0.05858854860186418
2023,37,119,005840,1,2023,123056.0,2253.0,1640.0,301.0,208.0,2253.0,132.0,,,0.7279183311140701,0.13359964491788726,0.0923213493120284,0.05858854860186418
2023,37,119,005858,2,2023,127321.0,2249.0,825.0,501.0,714.0,2249.0,175.0,,,0.3668297020898177,0.22276567363272565,0.3174744330813695,0.07781236104935527
2016,37,119,005827,1,2023,70474.0,2568.0,708.0,1049.0,16.0,2568.0,689.0,,,0.2757009345794392,0.4084890965732087,0.006230529595015576,0.26830218068535827
2017,37,119,005827,1,2023,70474.0,2568.0,708.0,1049.0,16.0,2568.0,689.0,,,0.2757009345794392,0.4084890965732087,0.006230529595015576,0.26830218068535827
2018,37,119,005827,1,2023,70474.0,2568.0,708.0,1049.0,16.0,2568.0,689.0,,,0.2757009345794392,0.4084890965732087,0.006230529595015576,0.26830218068535827
2019,37,119,005827,1,2023,70474.0,2568.0,708.0,1049.0,16.0,2568.0,689.0,,,0.2757009345794392,0.4084890965732087,0.006230529595015576,0.26830218068535827
2020,37,119,005827,1,2023,70474.0,2568.0,708.0,1049.0,16.0,2568.0,689.0,,,0.2757009345794392,0.4084890965732087,0.006230529595015576,0.26830218068535827
2021,37,119,005827,1,2023,70474.0,2568.0,708.0,1049.0,16.0,2568.0,689.0,,,0.2757009345794392,0.4084890965732087,0.006230529595015576,0.26830218068535827
2022,37,119,005827,1,2023,70474.0,2568.0,708.0,1049.0,16.0,2568.0,689.0,,,0.2757009345794392,0.4084890965732087,0.006230529595015576,0.26830218068535827
2023,37,119,005827,1,2023,70474.0,2568.0,708.0,1049.0,16.0,2568.0,689.0,,,0.2757009345794392,0.4084890965732087,0.006230529595015576,0.26830218068535827
2017,37,119,006112,2,2023,59231.0,967.0,298.0,643.0,0.0,967.0,118.0,,,0.3081695966907963,0.6649431230610134,0.0,0.12202688728024819
2018,37,119,006112,2,2023,59231.0,967.0,298.0,643.0,0.0,967.0,118.0,,,0.3081695966907963,0.6649431230610134,0.0,0.12202688728024819
2019,37,119,006112,2,2023,59231.0,967.0,298.0,643.0,0.0,967.0,118.0,,,0.3081695966907963,0.6649431230610134,0.0,0.12202688728024819
2021,37,119,006112,2,2023,59231.0,967.0,298.0,643.0,0.0,967.0,118.0,,,0.3081695966907963,0.6649431230610134,0.0,0.12202688728024819
2022,37,119,006112,2,2023,59231.0,967.0,298.0,643.0,0.0,967.0,118.0,,,0.3081695966907963,0.6649431230610134,0.0,0.12202688728024819
2015,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2016,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2017,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2015,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
2016,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
2017,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
