Premise Address 1,Premise City,Premise State,Premise ZIP,acs_year,matched_address,lon,lat,state_fips,county_fips,tract,block,block_group,geoid_tract,geoid_block_group
514 E 36TH ST,Charlotte,NC,,2020,"514 E 36TH ST, CHARLOTTE, NC, 28205",-80.804479810595,35.24753657049,37,119,001400,2005,2,37119001400,371190014002
514 E 36TH ST,Charlotte,NC,,2021,"514 E 36TH ST, CHARLOTTE, NC, 28205",-80.804479810595,35.24753657049,37,119,001400,2005,2,37119001400,371190014002
514 E 36TH ST,Charlotte,NC,,2022,"514 E 36TH ST, CHARLOTTE, NC, 28205",-80.804479810595,35.24753657049,37,119,001400,2005,2,37119001400,371190014002
514 E 36TH ST,Charlotte,NC,,2023,"514 E 36TH ST, CHARLOTTE, NC, 28205",-80.804479810595,35.24753657049,37,119,001400,2005,2,37119001400,371190014002
8150 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,2018,"8150 MOUNT HOLLY-HUNTERSVILLE RD, CHARLOTTE, NC, 28216",-80.886918101364,35.346182027813,37,119,006105,1009,1,37119006105,371190061051
8150 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,2019,"8150 MOUNT HOLLY-HUNTERSVILLE RD, CHARLOTTE, NC, 28216",-80.886918101364,35.346182027813,37,119,006105,1009,1,37119006105,371190061051
8150 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,2020,"8150 MOUNT HOLLY-HUNTERSVILLE RD, CHARLOTTE, NC, 28216",-80.886918101364,35.346182027813,37,119,006105,1009,1,37119006105,371190061051
8150 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,2021,"8150 MOUNT HOLLY-HUNTERSVILLE RD, CHARLOTTE, NC, 28216",-80.886918101364,35.346182027813,37,119,006105,1009,1,37119006105,371190061051
8150 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,2022,"8150 MOUNT HOLLY-HUNTERSVILLE RD, CHARLOTTE, NC, 28216",-80.886918101364,35.346182027813,37,119,006105,1009,1,37119006105,371190061051
8150 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,2023,"8150 MOUNT HOLLY-HUNTERSVILLE RD, CHARLOTTE, NC, 28216",-80.886918101364,35.346182027813,37,119,006105,1009,1,37119006105,371190061051
8156 S TRYON ST,Charlotte,NC,,2017,"8156 S TRYON ST, CHARLOTTE, NC, 28273",-80.929980018257,35.143016110278,37,119,005927,2008,2,37119005927,371190059272
8156 S TRYON ST,Charlotte,NC,,2018,"8156 S TRYON ST, CHARLOTTE, NC, 28273",-80.929980018257,35.143016110278,37,119,005927,2008,2,37119005927,371190059272
8156 S TRYON ST,Charlotte,NC,,2019,"8156 S TRYON ST, CHARLOTTE, NC, 28273",-80.929980018257,35.143016110278,37,119,005927,2008,2,37119005927,371190059272
8156 S TRYON ST,Charlotte,NC,,2020,"8156 S TRYON ST, CHARLOTTE, NC, 28273",-80.929980018257,35.143016110278,37,119,005927,2008,2,37119005927,371190059272
8156 S TRYON ST,Charlotte,NC,,2021,"8156 S TRYON ST, CHARLOTTE, NC, 28273",-80.929980018257,35.143016110278,37,119,005927,2008,2,37119005927,371190059272
9425 SOUTH BV,Charlotte,NC,,2022,"9425 SOUTH BLVD, CHARLOTTE, NC, 28273",-80.8818377064,35.109017923045,37,119,005827,1009,1,37119005827,371190058271
