premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual
CAVA,16845 BIRKDALE COMMONS PY,Charlotte,NC,,CAVA,,other,
CAVA,4267 PARK RD,Charlotte,NC,,CAVA,,other,
CAVA,8936 J M KEYNES DR,Charlotte,NC,,CAVA,,other,
CAVA METROPOLITAN,1055 METROPOLITAN AV,Charlotte,NC,,CAVA METROPOLITAN,,other,
CAVA SOUTHEND #093,2126 SOUTH BV,Charlotte,NC,,CAVA SOUTHEND,,other,
CAVA WAVERLY,6307 PROVIDENCE FARM LN,Charlotte,NC,,CAVA WAVERLY,,other,
CELLAR AND ALE,131 MATTHEWS STATION ST,Charlotte,NC,,CELLAR AND ALE,,other,
"CELLAR AT DUCKWORTH'S, THE",330 N TRYON ST,Charlotte,NC,,CELLAR AT DUCKWORTH S,,other,
CENTRO NEVERO,5861 ALBEMARLE RD,Charlotte,NC,,CENTRO NEVERO,,other,
CHAAT N DOSA,8624 CAMFIELD ST,Charlotte,NC,,CHAAT N DOSA,,other,
CHAPTER SIX,2151 HAWKINS ST,Charlotte,NC,,CHAPTER SIX,,other,
CHARLES T. MYERS GOLF COURSE,7701 HARRISBURG RD,Charlotte,NC,,CHARLES T MYERS GOLF COURSE,,other,
CHARLOTTE BEER GARDEN,1300 S TRYON ST,Charlotte,NC,,CHARLOTTE BEER GARDEN,,other,
CHARLOTTE COMMUNITY SERVICES ASSOCIATION,1801 OAKLAWN AV,Charlotte,NC,,CHARLOTTE COMMUNITY SERVICES ASSOCIATION,,other,
CHARLOTTE CONVENTION CENTER BUON CIBO,501 S COLLEGE ST,Charlotte,NC,,CHARLOTTE CONVENTION CENTER BUON CIBO,,other,
CHARLOTTE CONVENTION CENTER EINSTEIN BAGEL,501 S COLLEGE ST,Charlotte,NC,,CHARLOTTE CONVENTION CENTER EINSTEIN BAGEL,,other,
CHARLOTTE GREENS,9201 UNIVERSITY CITY BV,Charlotte,NC,,CHARLOTTE GREENS,,other,
CHARLOTTE LATIN FOUNDERS' HALL,9502 PROVIDENCE RD,Charlotte,NC,,CHARLOTTE LATIN FOUNDERS HALL,,other,
CHARTER COMMUNICATIONS CHARLOTTE,7800 CRESCENT EXECUTIVE DR,Charlotte,NC,,CHARTER COMMUNICATIONS CHARLOTTE,,other,
CHEDDARS,620 UNIVERSITY CENTER BV,Charlotte,NC,,CHEDDARS,,other,
"CHEESECAKE FACTORY BIRKDALE, THE",8701 TOWNLEY RD,Charlotte,NC,,CHEESECAKE FACTORY BIRKDALE,,other,
"CHEESECAKE FACTORY, THE",4400 SHARON RD,Charlotte,NC,,CHEESECAKE FACTORY,,other,
CHEF HENRY CATERING,1050 DEVORE LN,Charlotte,NC,,CHEF HENRY CATERING,,other,
CHEZ MARIE,4732 SHARON RD,Charlotte,NC,,CHEZ MARIE,,other,
CHICK-FIL-A,8411 NORTHLAKE COMMONS BV,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A,9201 UNIVERSITY CITY BV,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A  #00592,1540 E WOODLAWN RD,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A # 04436,7404 MATTHEWS-MINT HILL RD,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A # 836,9905 MATTHEWS PARK DR,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A #1817,8433 DAVIS LAKE PY,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A #3998,5920 PROSPERITY CHURCH RD,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A #4278,8700 UNIVERSITY EXECUTIVE PARK DR,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A #462,101 S TRYON ST,Charlotte,NC,,CHICK-FIL-A,,other,
CHICK-FIL-A #698 AT LAKE NORMAN,16915 STATESVILLE RD,Charlotte,NC,,CHICK-FIL-A AT LAKE NORMAN,,other,
CHICK-FIL-A COLLEGE DOWNS,8428 UNIVERSITY CITY BV,Charlotte,NC,,CHICK-FIL-A COLLEGE DOWNS,,other,
CHICK-FIL-A RIVERGATE PARKWAY #1852,14111 RIVERGATE PY,Charlotte,NC,,CHICK-FIL-A RIVERGATE PARKWAY,,other,
CHICK-FIL-A WHITEHALL COMMONS #0753,8032 S TRYON ST,Charlotte,NC,,CHICK-FIL-A WHITEHALL COMMONS,,other,
CHICK-O-RICO,7510 PINEVILLE-MATTHEWS RD,Charlotte,NC,,CHICK-O-RICO,,other,
CHICKIE'S & PETE'S- CAROWINDS,14523 CAROWINDS BV,Charlotte,NC,,CHICKIE S & PETE S- CAROWINDS,,other,
CHIN CHIN II,9013 ALBEMARLE RD,Charlotte,NC,,CHIN CHIN II,,other,
CHIN GARDEN,4420 THE PLAZA,Charlotte,NC,,CHIN GARDEN,,other,
CHINA BUFFET,9931 LEE ST,Charlotte,NC,,CHINA BUFFET,,other,
CHINA EXPRESS,315 S POLK ST,Charlotte,NC,,CHINA EXPRESS,,other,
CHINA EXPRESS II,3607 MATTHEWS-MINT HILL RD,Charlotte,NC,,CHINA EXPRESS II,,other,
CHINA FUN,5716 WYALONG DR,Charlotte,NC,,CHINA FUN,,other,
CHINA GARDEN #3,8016 CAMBRIDGE COMMONS DR,Charlotte,NC,,CHINA GARDEN,,other,
CHINA INN,5630 N GRAHAM ST,Charlotte,NC,,CHINA INN,,other,
CHINA PALACE,9211 N TRYON ST,Charlotte,NC,,CHINA PALACE,,other,
CHINA SAUTE,9248 ALBEMARLE RD,Charlotte,NC,,CHINA SAUTE,,other,
CHINA SHUTTLE,310 E TRADE ST,Charlotte,NC,,CHINA SHUTTLE,,other,
CHINATOWN,13000 S TRYON ST,Charlotte,NC,,CHINATOWN,,other,
CHOI’S KOREA & WING,808 E ARROWOOD RD,Charlotte,NC,,CHOI S KOREA & WING,,other,
CHOPT CREATIVE SALAD,4125 PARK RD,Charlotte,NC,,CHOPT CREATIVE SALAD,,other,
CHOPT CREATIVE SALAD ARBORETUM,8022 PROVIDENCE RD,Charlotte,NC,,CHOPT CREATIVE SALAD ARBORETUM,,other,
CHOPT CREATIVE SALAD BLAKENEY,9844 REA RD,Charlotte,NC,,CHOPT CREATIVE SALAD BLAKENEY,,other,
CHOPT CREATIVE SALAD UPTOWN,212 S TRYON ST,Charlotte,NC,,CHOPT CREATIVE SALAD UPTOWN,,other,
CHUCK E CHEESE #39,5612 ALBEMARLE RD,Charlotte,NC,,CHUCK E CHEESE,,other,
CHUCK E CHEESE #S064,7701 PINEVILLE-MATTHEWS RD,Charlotte,NC,,CHUCK E CHEESE S064,,other,
CHURCH & UNION,127 N TRYON ST,Charlotte,NC,,CHURCH & UNION,,other,
CHUYS,7314 WAVERLY WALK AV,Charlotte,NC,,CHUYS,,other,
CICCHETTI,100  N TRYON  ST,Charlotte,NC,,CICCHETTI,,other,
CILANTRO NOODLE / OHCA TIME,2001 COMMONWEALTH AV,Charlotte,NC,,CILANTRO NOODLE / OHCA TIME,,other,
CINERGY 109,5336 DOCIA CROSSING RD,Charlotte,NC,,CINERGY,,other,
CIRCLE G,4818 ROZZELLES FERRY RD,Charlotte,NC,,CIRCLE G,,other,
CIRCLE K #1935,1809 EAST ARBORS DR,Charlotte,NC,,CIRCLE K,,other,
CIRCLE K #3270,18635 OLD STATESVILLE RD,Charlotte,NC,,CIRCLE K,,other,
CIRCLE K#2723978,8008 HARRIS STATION BV,Charlotte,NC,,CIRCLE K,,other,
CITY CENTER COURTYARD MARRIOTT,237 S TRYON ST,Charlotte,NC,,CITY CENTER COURTYARD MARRIOTT,,other,
"CITY KITCH WEST END, THE",2200 THRIFT RD,Charlotte,NC,,CITY KITCH WEST END,,other,
CLEAN EATZ,17111 KENTON DR,Charlotte,NC,,CLEAN EATZ,,other,
CLEAN EATZ,2215 AYRSLEY TOWN BV,Charlotte,NC,,CLEAN EATZ,,other,
CLEAN JUICE,2225 MATTHEWS TOWNSHIP PY,Charlotte,NC,,CLEAN JUICE,,other,
CLEAN JUICE - BIRKDALE,16623 BIRKDALE COMMONS PY,Charlotte,NC,,CLEAN JUICE - BIRKDALE,,other,
CLEAN JUICE DAVIDSON,605 JETTON ST,Charlotte,NC,,CLEAN JUICE DAVIDSON,,other,
CLEAN JUICE REA FARMS,9826 SANDY ROCK PL,Charlotte,NC,,CLEAN JUICE REA FARMS,,other,
CLEAN JUICE SOUTHEND,1616 CAMDEN RD,Charlotte,NC,,CLEAN JUICE SOUTHEND,,other,
CLEAN JUICE STEELE CREEK,4833 BEREWICK TOWN CENTER DR,Charlotte,NC,,CLEAN JUICE STEELE CREEK,,other,
CLEAN JUICE STONECREST,7918 REA RD,Charlotte,NC,,CLEAN JUICE STONECREST,,other,
"CLUB CLT, THE",5501 JOSH BIRMINGHAM PY,Charlotte,NC,,CLUB CLT,,other,
CLUB ONYX,5300 OLD PINEVILLE RD,Charlotte,NC,,CLUB ONYX,,other,
CLUB WEST BREWING,2151 HAWKINS ST,Charlotte,NC,,CLUB WEST BREWING,,other,
CO,4201 PARK RD,Charlotte,NC,,,,other,
COASTERS,14523 CAROWINDS BV,Charlotte,NC,,COASTERS,,other,
COCO & THE DIRECTOR,100 W TRADE ST,Charlotte,NC,,COCO & THE DIRECTOR,,other,
COLLINS AEROSPACE,2730 W TYVOLA RD,Charlotte,NC,,COLLINS AEROSPACE,,other,
COMFORT INN & SUITES,19521 LIVERPOOL PY,Charlotte,NC,,COMFORT INN & SUITES,,other,
COMFORT INN MATTHEWS,1718 WINDSOR CROSSING DR,Charlotte,NC,,COMFORT INN MATTHEWS,,other,
COMFORT SUITES,16905 CALDWELL CREEK DR,Charlotte,NC,,COMFORT SUITES,,other,
COMFORT SUITES,7735 UNIVERSITY CITY BV,Charlotte,NC,,COMFORT SUITES,,other,
COMFORT SUITES #391,3425 MULBERRY CHURCH RD,Charlotte,NC,,COMFORT SUITES,,other,
COMFORT SUITES NORTHLAKE,7315 SMITH CORNERS BV,Charlotte,NC,,COMFORT SUITES NORTHLAKE,,other,
COMFORT SUITES PINEVILLE,10415 CENTRUM PY,Charlotte,NC,,COMFORT SUITES PINEVILLE,,other,
COMMONSPACE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,COMMONSPACE,,other,
COMMUNITY CULINARY SCHOOL/ ENCORE CATERING,9315 MONROE RD,Charlotte,NC,,COMMUNITY CULINARY SCHOOL/ ENCORE CATERING,,other,
COMO EN MEXICO,1125 E SUGAR CREEK RD,Charlotte,NC,,COMO EN MEXICO,,other,
COMPASS/WELLS FARGO BREVARD,300 S BREVARD ST,Charlotte,NC,,COMPASS/WELLS FARGO BREVARD,,other,
