total_pop,occupied_units,renter_occupied,labor_force,unemployed,owner_no_vehicle,renter_no_vehicle,state,county,tract,block group,state_fips,county_fips,block_group,acs_data_year,pct_renter,pct_unemployed,pct_no_vehicle
1567,877,538,840,52,54,0,37,119,005610,2,37,119,2,2023,0.61345496009122,0.06190476190476191,0.06157354618015964
1255,379,185,620,0,0,0,37,119,005855,2,37,119,2,2023,0.48812664907651715,0.0,0.0
1669,960,706,1099,31,103,0,37,119,005623,1,37,119,1,2023,0.7354166666666667,0.028207461328480437,0.10729166666666666
1931,753,53,1079,13,16,23,37,119,002702,2,37,119,2,2023,0.0703851261620186,0.012048192771084338,0.05179282868525897
495,282,246,404,10,0,0,37,119,005915,1,37,119,1,2023,0.8723404255319149,0.024752475247524754,0.0
1944,884,591,1254,23,14,0,37,119,005845,3,37,119,3,2023,0.668552036199095,0.018341307814992026,0.01583710407239819
1559,531,250,1102,69,31,0,37,119,000501,2,37,119,2,2023,0.4708097928436911,0.06261343012704174,0.0583804143126177
2412,1315,1282,1765,131,245,8,37,119,003805,2,37,119,2,2023,0.9749049429657795,0.07422096317280454,0.19239543726235742
1472,709,161,1107,42,0,9,37,119,003401,2,37,119,2,2023,0.22708039492242596,0.037940379403794036,0.012693935119887164
1675,753,384,1104,75,0,5,37,119,001802,1,37,119,1,2023,0.5099601593625498,0.06793478260869565,0.006640106241699867
2070,923,466,1400,67,124,8,37,119,001300,1,37,119,1,2023,0.504875406283857,0.047857142857142855,0.14301191765980498
980,435,435,549,0,51,0,37,119,005536,1,37,119,1,2023,1.0,0.0,0.11724137931034483
2037,1045,742,1698,19,54,11,37,119,000103,1,37,119,1,2023,0.7100478468899522,0.011189634864546525,0.06220095693779904
2319,954,873,1301,29,69,0,37,119,005534,3,37,119,3,2023,0.9150943396226415,0.022290545734050732,0.07232704402515723
1277,672,117,874,0,0,43,37,119,003500,2,37,119,2,2023,0.17410714285714285,0.0,0.06398809523809523
3498,1013,161,1616,141,0,0,37,119,005924,2,37,119,2,2023,0.15893385982230998,0.08725247524752475,0.0
